CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,ACUIFERO,SUBTIPO,LONGITUD,LATITUD,ALC_mg/L,CALIDAD_ALC,CONDUCT_mS/cm,CALIDAD_CONDUC,SDT_M_mg/L,CALIDAD_SDT_salin,FLUORUROS_mg/L,CALIDAD_FLUO,DUR_mg/L,CALIDAD_DUR,COLI_FEC_NMP/100_mL,CALIDAD_COLI_FEC,N_NO3_mg/L,CALIDAD_N_NO3,AS_TOT_mg/L,CALIDAD_AS,CD_TOT_mg/L,CALIDAD_CD,CR_TOT_mg/L,CALIDAD_CR,HG_TOT_mg/L,CALIDAD_HG,PB_TOT_mg/L,CALIDAD_PB,MN_TOT_mg/L,CALIDAD_MN,FE_TOT_mg/L,CALIDAD_FE,SEMAFORO,CUMPLE_CON_ALC,CUMPLE_CON_COND,CUMPLE_CON_SDT_salin,CUMPLE_CON_FLUO,CUMPLE_CON_DUR,CUMPLE_CON_CF,CUMPLE_CON_NO3,CUMPLE_CON_AS,CUMPLE_CON_CD,CUMPLE_CON_CR,CUMPLE_CON_HG,CUMPLE_CON_PB,CUMPLE_CON_MN,CUMPLE_CON_FE
DLAGU6,POZO SAN GIL,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,ASIENTOS,VALLE DE CHICALOTE,POZO,-102.0221,22.20887,229.99,Alta,940.0,Permisible para riego,603.6,Potable - Dulce,0.9766,Potable - Optima,213.732,Potable - Dura,1.1,Potable - Excelente,4.184656,Potable - Excelente,0.0161,Apta como FAAP,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.0891,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLAGU6516,POZO R013 CAÑADA HONDA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,VALLE DE CHICALOTE,POZO,-102.20075,21.99958,231.99,Alta,608.0,Buena para riego,445.4,Potable - Dulce,0.9298,Potable - Optima,185.0514,Potable - Dura,1.1,Potable - Excelente,5.75011,Potable - Buena calidad,0.0134,Apta como FAAP,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLAGU9,POZO EL SALITRILLO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,RINCON DE ROMOS,VALLE DE AGUASCALIENTES,POZO,-102.29449,22.18435,327.0,Alta,686.0,Buena para riego,478.6,Potable - Dulce,1.1229,Potable - Optima,199.879,Potable - Dura,1.1,Potable - Excelente,1.258597,Potable - Excelente,0.0154,Apta como FAAP,0.003,Potable - Excelente,0.005,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ110,"POZO 26, SAN JUAN",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,TODOS SANTOS,POZO,-110.21396,23.4746,203.67,Alta,531.0,Buena para riego,278.8,Potable - Dulce,0.289,Baja,166.2528,Potable - Dura,110.0,Buena calidad,4.68647,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ117,LAS PARRITAS,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,EL CARRIZAL,POZO,-110.088778,23.799861,343.655,Alta,1114.0,Permisible para riego,672.0,Potable - Dulce,0.3421,Baja,403.8482,Potable - Dura,146.0,Buena calidad,1.877325,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0113,Potable - Excelente,0.1615,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ119,AGUA AMARGA Y SAN PEDRO MEXICO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,-109.907091,23.94632,136.53,Media,1329.0,Permisible para riego,671.2,Potable - Dulce,0.4925,Media,222.8128,Potable - Dura,355.0,Aceptable,5.625327,Potable - Buena calidad,0.01,Potable - Excelente,0.003,Potable - Excelente,0.0053,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ122,EL TRIUNFO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,EL CARRIZAL,POZO,-110.108253,23.807347,247.52,Alta,1668.0,Permisible para riego,931.2,Potable - Dulce,0.6351,Media,198.94,Potable - Dura,1.1,Potable - Excelente,0.165785,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0808,Potable - Excelente,0.1992,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ129,"SP. A.P. 1, L. 9, COL. SIN.",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,SANTO DOMINGO,POZO,-111.72009,25.13549,204.765,Alta,928.0,Permisible para riego,512.6667,Potable - Dulce,0.4116,Media,187.248,Potable - Dura,1.1,Potable - Excelente,9.224505,Potable - Buena calidad,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ130,L. 16-17 COL. LAGUNA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,SANTO DOMINGO,POZO,-111.8038,25.2401,244.185,Alta,1593.0,Permisible para riego,789.3333,Potable - Dulce,0.6076,Media,199.2,Potable - Dura,1.1,Potable - Excelente,3.146125,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.0104,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ148,"RANCHO AGUA DULCE, GVO. GLEZ.",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LORETO,SAN JUAN B. LONDO,POZO,-111.4857,26.2279,249.66,Alta,1153.0,Permisible para riego,678.0,Potable - Dulce,0.2563,Baja,241.4624,Potable - Dura,10.0,Buena calidad,8.444545,Potable - Buena calidad,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0051,Potable - Excelente,0.0564,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ157,MULEGE 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,MULEGE,POZO,-112.00146,26.88679,189.435,Alta,1584.0,Permisible para riego,890.6,Potable - Dulce,0.3542,Baja,287.2224,Potable - Dura,1.1,Potable - Excelente,8.844383,Potable - Buena calidad,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0021,Potable - Excelente,0.0373,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ182,BENITO JUAREZ 2,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,POZO,-113.7937,27.9193,103.13,Media,950.0,Permisible para riego,608.67,Potable - Dulce,0.3062,Baja,241.5623,Potable - Dura,43.0,Buena calidad,3.863066,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.006,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0044,Potable - Excelente,0.0703,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ183,LAGUNEROS 2,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,POZO,-113.67867,27.82175,140.0,Media,446.0,Buena para riego,540.0,Potable - Dulce,0.3823,Baja,266.0324,Potable - Dura,1.1,Potable - Excelente,1.313023,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.0335,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0019,Potable - Excelente,0.0436,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ184,DIAZ ORDAZ 2. 2A. ETAPA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,POZO,-113.4545,27.7335,150.0,Media,412.0,Buena para riego,552.0,Potable - Dulce,0.7995,Potable - Optima,68.1075,Potable - Moderadamente suave,1.1,Potable - Excelente,3.383635,Potable - Excelente,0.0109,Apta como FAAP,0.003,Potable - Excelente,0.042,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ187,CARACOL 2,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,POZO,-113.34142,27.5281,161.0,Alta,443.0,Buena para riego,496.0,Potable - Dulce,0.3593,Baja,236.6757,Potable - Dura,4.0,Buena calidad,5.489275,Potable - Buena calidad,0.01,Potable - Excelente,0.003,Potable - Excelente,0.0312,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ189,GMO. PRIETO 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,VIZCAINO,POZO,-113.2666,27.8332,154.0,Alta,506.0,Buena para riego,444.0,Potable - Dulce,0.7633,Potable - Optima,84.8712,Potable - Moderadamente suave,1.1,Potable - Excelente,3.959387,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.041,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ54,POZO NO.VII R(ANTES A.P. VII),PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LA PAZ,POZO,-110.29474,24.13871,115.44,Media,736.0,Buena para riego,405.4,Potable - Dulce,0.2072,Baja,153.1838,Potable - Dura,1.1,Potable - Excelente,8.085917,Potable - Buena calidad,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ68,POZO NO. 197-A,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LA PAZ,POZO,-110.35254,24.099,178.71,Alta,1011.0,Permisible para riego,556.6,Potable - Dulce,0.2,Baja,213.144,Potable - Dura,1.1,Potable - Excelente,2.136936,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ73,POZO NO. XVII,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LA PAZ,POZO,-110.32825,24.0301,163.17,Alta,712.0,Buena para riego,453.4,Potable - Dulce,0.2,Baja,198.94,Potable - Dura,1.1,Potable - Excelente,2.785682,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.0644,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ74,POZO NO. XXII (ANTES A.P. XXII),PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LA PAZ,POZO,-110.32911,24.01131,150.96,Alta,680.0,Buena para riego,404.8,Potable - Dulce,0.2,Baja,179.046,Potable - Dura,350.0,Aceptable,2.808599,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.05,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ75,POZO NO. XXIV (ANTES A.P. XXIV),PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LA PAZ,POZO,-110.351111,23.992694,230.88,Alta,805.0,Permisible para riego,471.0,Potable - Dulce,0.226,Baja,230.7704,Potable - Dura,1.1,Potable - Excelente,2.378314,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.0465,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ76,POZO NO. XXVI (ANTES A.P. XXVI),PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LA PAZ,POZO,-110.372139,23.97425,222.0,Alta,974.0,Permisible para riego,535.6,Potable - Dulce,0.3068,Baja,230.7704,Potable - Dura,1.1,Potable - Excelente,1.824558,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.05,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ82,POZO CLAVE 35R,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,-109.91576,23.93433,155.4,Alta,1134.0,Permisible para riego,530.2,Potable - Dulce,0.7515,Potable - Optima,151.392,Potable - Dura,1.1,Potable - Excelente,6.633247,Potable - Buena calidad,0.01,Potable - Excelente,0.003,Potable - Excelente,0.0055,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ91,POZO NO. 5 PIDER,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,SAN JOSE DEL CABO,POZO,-109.705375,23.315977,144.3,Media,597.0,Buena para riego,363.0,Potable - Dulce,0.3728,Baja,199.8992,Potable - Dura,10.0,Buena calidad,1.217581,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0023,Potable - Excelente,0.0388,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ92,POZO SAN BERNABE,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,SAN JOSE DEL CABO,POZO,-109.69954,23.14838,85.47,Media,266.0,Buena para riego,249.2,Potable - Dulce,0.2664,Baja,91.0432,Potable - Moderadamente suave,1.1,Potable - Excelente,2.752412,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0025,Potable - Excelente,0.0607,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLCAM227,POZO DEL SISTEMA DE AGUA POTABLE DE UAYAMON,PENINSULA DE YUCATAN,CAMPECHE,CAMPECHE,PENINSULA DE YUCATAN,POZO,-90.42225,19.65788,278.86,Alta,766.0,Permisible para riego,514.0,Potable - Dulce,0.3207,Baja,305.22,Potable - Dura,1.1,Potable - Excelente,1.0098,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0061,Potable - Excelente,0.2531,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLCAM244,POZO DEL SISTEMA DE AGUA POTABLE DE ALFREDO V. BONFIL,PENINSULA DE YUCATAN,CAMPECHE,CAMPECHE,PENINSULA DE YUCATAN,POZO,-90.17564,19.52199,267.4,Alta,957.0,Permisible para riego,638.0,Potable - Dulce,0.2462,Baja,376.96,Potable - Dura,1.1,Potable - Excelente,2.1879,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0091,Potable - Excelente,0.2901,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLCAM245,POZO DEL SISTEMA DE AGUA POTABLE DE PUEBLO NUEVO,PENINSULA DE YUCATAN,CAMPECHE,CAMPECHE,PENINSULA DE YUCATAN,POZO,-90.12211,19.74728,309.42,Alta,1332.0,Permisible para riego,878.0,Potable - Dulce,0.6138,Media,475.64,Potable - Dura,1.1,Potable - Excelente,2.6617,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.1986,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLCAM256,POZO DEL SISTEMA DE AGUA POTABLE DE CENTENARIO,PENINSULA DE YUCATAN,CAMPECHE,ESCARCEGA,PENINSULA DE YUCATAN,POZO,-90.288313,18.648749,275.04,Alta,720.0,Buena para riego,502.0,Potable - Dulce,0.9052,Potable - Optima,284.2,Potable - Dura,1.1,Potable - Excelente,0.6119,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0251,Potable - Excelente,0.2005,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLCAM266,POZO 1 DEL SISTEMA DE AGUA POTABLE DE ESCARCEGA,PENINSULA DE YUCATAN,CAMPECHE,ESCARCEGA,PENINSULA DE YUCATAN,POZO,-90.72135,18.6058,147.07,Media,1044.0,Permisible para riego,712.0,Potable - Dulce,0.4386,Media,238.81,Potable - Dura,1.1,Potable - Excelente,1.0532,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0024,Potable - Excelente,0.2008,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLCAM267,POZO 4 DEL SISTEMA DE AGUA POTABLE DE CHICBUL,PENINSULA DE YUCATAN,CAMPECHE,CARMEN,PENINSULA DE YUCATAN,POZO,-90.92259,18.77386,173.81,Alta,1022.0,Permisible para riego,693.0,Potable - Dulce,0.2079,Baja,256.57,Potable - Dura,1.1,Potable - Excelente,0.9395,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.2641,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLCHI296,VALLE DE JUAREZ 1,RIO BRAVO,CHIHUAHUA,JUAREZ,VALLE DE JUAREZ,POZO,-106.28142,31.54709,169.725,Alta,1626.0,Permisible para riego,1072.0,Ligeramente salobres,0.3963,Baja,367.0064,Potable - Dura,1.1,Potable - Excelente,2.510057,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0231,Potable - Excelente,0.025,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLCHI301,FLORES MAGON-VILLA AHUMADA 3,RIO BRAVO,CHIHUAHUA,AHUMADA,FLORES MAGON-VILLA AHUMADA,POZO,-106.43805,30.15929,177.39,Alta,440.0,Buena para riego,241.0,Potable - Dulce,0.2,Baja,97.7354,Potable - Moderadamente suave,201.0,Aceptable,1.502923,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.003,Potable - Excelente,0.0564,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLCHI316,BAJA BABICORA 1,RIO BRAVO,CHIHUAHUA,BACHINIVA,BAJA BABICORA,POZO,-107.24538,28.7217,205.35,Alta,358.0,Buena para riego,255.0,Potable - Dulce,0.5695,Media,169.133,Potable - Dura,10.0,Buena calidad,0.275087,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0026,Potable - Excelente,0.0551,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLCHI318,CUAUHTEMOC 3,RIO BRAVO,CHIHUAHUA,CUAUHTEMOC,CUAUHTEMOC,POZO,-107.00819,28.58134,125.43,Media,349.0,Buena para riego,177.4,Potable - Dulce,1.2825,Potable - Optima,93.5206,Potable - Moderadamente suave,1.1,Potable - Excelente,0.28316,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLCHI327M1,MEOQUI-DELICIAS (M-42),RIO BRAVO,CHIHUAHUA,MEOQUI,MEOQUI-DELICIAS,POZO,-105.567222,28.355833,266.085,Alta,577.0,Buena para riego,494.6,Potable - Dulce,1.4009,Potable - Optima,197.4654,Potable - Dura,1.1,Potable - Excelente,7.269607,Potable - Buena calidad,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLCHI345,EL SAUZ-ENCINILLAS 2,RIO BRAVO,CHIHUAHUA,CHIHUAHUA,EL SAUZ-ENCINILLAS,POZO,-106.2562,29.06838,127.02,Media,378.0,Buena para riego,228.0,Potable - Dulce,0.4113,Media,135.6328,Potable - Dura,1.1,Potable - Excelente,6.572807,Potable - Buena calidad,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0021,Potable - Excelente,0.025,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLCHI387,ASCENSION 2,RIO BRAVO,CHIHUAHUA,ASCENSION,ASCENSION,POZO,-108.00337,31.05437,89.79,Media,552.0,Buena para riego,372.8,Potable - Dulce,1.4242,Potable - Optima,154.3776,Potable - Dura,1.1,Potable - Excelente,8.146419,Potable - Buena calidad,0.01,Potable - Excelente,0.003,Potable - Excelente,0.0055,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.052,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLCHI407,JIMENEZ-CAMARGO 3,RIO BRAVO,CHIHUAHUA,ALLENDE,JIMENEZ-CAMARGO,POZO,-105.43712,26.91534,284.48,Alta,561.0,Buena para riego,389.2,Potable - Dulce,0.8732,Potable - Optima,280.5618,Potable - Dura,1.1,Potable - Excelente,1.270051,Potable - Excelente,0.0176,Apta como FAAP,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLCOA430,POZO 1 RANCHO SAN JUAN (CHAPULA),RIO BRAVO,COAHUILA DE ZARAGOZA,SALTILLO,CAÑON DEL DERRAMADERO,POZO,-101.21586,25.26437,256.41,Alta,697.0,Buena para riego,489.2,Potable - Dulce,0.7535,Potable - Optima,346.1556,Potable - Dura,1.1,Potable - Excelente,5.12073,Potable - Buena calidad,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLCOA475,POZO TANQUE NUEVO,CUENCAS CENTRALES DEL NORTE,COAHUILA DE ZARAGOZA,PARRAS,GENERAL CEPEDA-SAUCEDA,POZO,-101.72879,25.26241,248.565,Alta,476.0,Buena para riego,287.2,Potable - Dulce,0.2,Baja,253.3376,Potable - Dura,1.1,Potable - Excelente,1.942889,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.1051,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLCOA492,POZO RANCHO PAOLA,RIO BRAVO,COAHUILA DE ZARAGOZA,SALTILLO,SALTILLO-RAMOS ARIZPE,POZO,-100.88791,25.43227,194.25,Alta,1568.0,Permisible para riego,404.4,Potable - Dulce,0.4365,Media,159.152,Potable - Dura,160.0,Buena calidad,0.02,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0105,Potable - Excelente,0.0732,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
